sub-Saharan	year	african	other	east
200	1990	230	1410	705
220	1991	240	1410	696
220	1992	250	1410	688
230	1993	260	1410	680
240	1994	265	1410	610
250	1995	270	1350	540
260	1996	280	1340	460
265	1997	300	1320	467
270	1998	300	1300	474
280	1999	320	1330	481
300	2000	320	1360	490
300	2001	320	1260	435
320	2002	310	1160	385
320	2003	310	1040	330
320	2004	320	960	275
310	2005	325	900	215
310	2006	328	860	205
320	2007	330	815	195
325	2008	330	775	180
328	2009	340	720	153
330	2010	350	680	128
330	2011	355	620	100
340	2012	360	580	70
345	2013	365	500	62
347	2014	367	490	54
350	2015	370	450	45
